Bartonella species,Isolate/Strain/Clone,Nickname,Group
B. sp. Myotis emarginatus,Vesp-9 B44544,B._sp._Myotis.emarginatus_Vesp_9_B44544,2
B. sp. Pipistrellus pygmaeus,Vesp-13 B44718,B._sp._Pipistrellus.pygmaeus_Vesp_13_B44718,2
B. sp. Pteronotus parnellii,F14,B._sp._Pteronotus.parnellii_F14,2
B. sp. Pteronotus parnellii,F9,B._sp._Pteronotus.parnellii_F9,2
B. sp. Rhinolophus euryale,Rhin-4 B44528,B._sp._Rhinolophus.euryale_Rhin_4_B44528,2
B. sp. Rhinolophus ferrumequinum,Rhin-1 B44706,B._sp._Rhinolophus.ferrumequinum_Rhin_1_B44706,2
B. sp. Rhinolophus ferrumequinum,Rhin-2 B44658,B._sp._Rhinolophus.ferrumequinum_Rhin_2_B44658,2
B. sp. Rhinolophus ferrumequinum,Rhin-3 B44712,B._sp._Rhinolophus.ferrumequinum_Rhin_3_B44712,2
B. sp. Rhinolophus ferrumequinum,Rhin-5 B44552,B._sp._Rhinolophus.ferrumequinum_Rhin_5_B44552,2
B. sp. Rousettus aegyptiacus,R-191,B._sp._Rousettus.aegyptiacus_R_191,2
B. sp. Sturnira lilium,J3,B._sp._Sturnira.lilium_J3,2
B. sp. Taphozous melanopogon,KP283b,B._sp._Taphozous.melanopogon_KP283b,2
B. sp. Triaenops persicus,T-837,B._sp._Triaenops.persicus_T_837,2
B. mayotimonensis,EYL-2008,B._mayotimonensis_EYL_2008,2
B. sp. Eidolon helvum,E1-105,B._sp._Eidolon.helvum_E1_105,3
B. sp. Eidolon helvum,E2-114,B._sp._Eidolon.helvum_E2_114,3
B. sp. Eidolon helvum,E3-106,B._sp._Eidolon.helvum_E3_106,3
B. sp. Eidolon helvum,E4 B39301,B._sp._Eidolon.helvum_E4_B39301,3
B. sp. Eidolon helvum,E5 B40014,B._sp._Eidolon.helvum_E5_B40014,3
B. sp. Eidolon helvum,Eh6-0510-A106,B._sp._Eidolon.helvum_Eh6_0510_A106,4
B. sp. Eidolon helvum,Eh6-1109-Q131,B._sp._Eidolon.helvum_Eh6_1109_Q131,4
B. sp. Eidolon helvum,Eh7-0110-R16,B._sp._Eidolon.helvum_Eh7_0110_R16,4
B. sp. Eidolon helvum,Ew-111,B._sp._Eidolon.helvum_Ew_111,3
